user_001,user_002,FOLLOWS,2023-06-15,true
user_001,user_005,FOLLOWS,2023-08-20,true
user_002,user_001,FOLLOWS,2023-06-20,true
user_002,user_003,FOLLOWS,2023-07-10,false
user_002,user_004,FOLLOWS,2023-09-05,true
user_003,user_001,FOLLOWS,2023-07-01,true
user_004,user_002,FOLLOWS,2023-09-10,true
user_004,user_005,FOLLOWS,2023-10-15,true
user_005,user_001,FOLLOWS,2023-08-25,true
user_005,user_002,FOLLOWS,2023-09-01,false
user_006,user_001,FOLLOWS,2024-01-10,true
user_006,user_005,FOLLOWS,2024-01-12,true