user_002,post_001,LIKED,2024-01-15T11:00:00Z
user_003,post_001,LIKED,2024-01-15T12:30:00Z
user_004,post_001,LIKED,2024-01-15T14:15:00Z
user_005,post_001,LIKED,2024-01-15T16:20:00Z
user_001,post_002,LIKED,2024-01-16T15:00:00Z
user_003,post_002,LIKED,2024-01-16T16:30:00Z
user_001,post_003,LIKED,2024-01-17T10:00:00Z
user_004,post_003,LIKED,2024-01-17T11:45:00Z
user_005,post_003,LIKED,2024-01-17T13:20:00Z
user_001,post_004,LIKED,2024-01-18T17:30:00Z
user_002,post_004,LIKED,2024-01-18T18:00:00Z
user_003,post_004,LIKED,2024-01-18T19:15:00Z
user_005,post_005,LIKED,2024-01-19T12:00:00Z
user_001,post_006,LIKED,2024-01-20T14:00:00Z