path,struct,derive,derive_Serialize,derive_Deserialize,derive_Default,has_Default_impl,has_Builder,has_validate,usages
gds/src/core/context.rs,ExecutionConfig,True,False,False,False,True,False,False,0
gds/src/core/utils/misc/feature_toggles.rs,FeatureConfig,False,False,False,False,False,False,False,0
gds/src/mem/memest/database_graph_estimation.rs,TestProjectConfig,True,False,False,False,False,False,False,0
gds/src/ml/decision_tree/trainer_config.rs,DecisionTreeTrainerConfig,True,False,False,False,True,True,True,0
gds/src/ml/splitting/config.rs,SplitRelationshipsConfig,True,True,True,False,True,False,False,0
gds/src/ml/gradient_descent/config.rs,GradientDescentConfig,True,True,True,False,True,True,False,0
gds/src/ml/models/config.rs,BaseTrainerConfig,True,True,True,False,True,False,False,0
gds/src/ml/models/config.rs,PenaltyConfig,True,True,True,False,True,False,False,0
gds/src/ml/models/config.rs,ClassAwareTrainerConfig,True,True,True,False,False,False,False,0
gds/src/ml/models/logistic_regression/config.rs,LogisticRegressionTrainConfig,True,True,True,False,True,False,False,0
gds/src/ml/models/automl/config.rs,TunableTrainerConfig,True,False,False,False,False,False,False,0
gds/src/ml/models/random_forest/config.rs,RandomForestConfig,True,True,True,False,True,False,False,0
gds/src/ml/models/random_forest/config.rs,RandomForestClassifierTrainerConfig,True,True,True,False,False,False,False,0
gds/src/ml/models/random_forest/config.rs,RandomForestRegressorTrainerConfig,True,True,True,False,False,False,False,0
gds/src/ml/models/random_forest/classifier.rs,RandomForestClassifierConfig,True,True,True,False,False,False,False,0
gds/src/ml/models/random_forest/regressor.rs,RandomForestRegressorConfig,True,True,True,False,False,False,False,0
gds/src/ml/models/linear_regression/config.rs,LinearRegressionTrainConfig,True,True,True,False,True,False,False,0
gds/src/ml/models/mlp/config.rs,MLPClassifierTrainConfig,True,True,True,False,True,True,False,0
gds/src/collections/extensions/memory_estimation.rs,MemoryEstimationConfig,True,False,False,False,True,False,False,0
gds/src/collections/extensions/compression.rs,CompressionConfig,True,False,False,False,True,False,False,0
gds/src/collections/extensions/queue.rs,QueueConfig,True,False,False,False,True,False,False,0
gds/src/collections/extensions/paging.rs,PagingConfig,True,False,False,False,True,False,False,0
gds/src/collections/extensions/random.rs,RandomConfig,True,False,False,False,True,False,False,0
gds/src/collections/extensions/stack.rs,StackConfig,True,False,False,False,True,False,False,0
gds/src/collections/extensions/partitioning.rs,PartitioningConfig,True,False,False,False,True,False,False,0
gds/src/collections/extensions/metrics.rs,MetricsConfig,True,False,False,False,True,False,False,0
gds/src/config/base_types.rs,AlgoBaseConfig,True,True,True,False,True,False,False,0
gds/src/config/base_types.rs,MutateConfig,True,True,True,False,True,False,False,0
gds/src/config/base_types.rs,BuilderConfig,True,True,True,False,True,False,False,0
gds/src/config/graph_config.rs,PropertyConfig,True,True,True,False,False,True,True,0
gds/src/config/graph_config.rs,GraphCreateConfig,True,True,True,False,True,True,True,0
gds/src/config/graph_config.rs,RandomGraphGeneratorConfig,False,False,False,False,False,False,True,0
gds/src/config/graph_config.rs,RelationshipsBuilderConfig,True,True,True,False,True,True,True,0
gds/src/config/model_config.rs,ModelConfig,False,False,False,False,False,False,True,0
gds/src/config/graph_store_config.rs,GraphStoreMemoryConfig,True,True,True,False,False,False,True,0
gds/src/config/graph_store_config.rs,GraphStoreCacheConfig,True,True,True,False,False,False,True,0
gds/src/config/graph_store_config.rs,GraphStoreComputeConfig,True,True,True,False,False,False,True,0
gds/src/config/graph_store_config.rs,GraphStorePropertiesConfig,True,True,True,False,False,False,True,0
gds/src/config/graph_store_config.rs,GraphStoreConfig,True,True,True,False,False,False,True,0
gds/src/config/collections_config.rs,CollectionsConfig,True,False,False,False,False,True,False,0
gds/src/config/collections_config.rs,ElementTypeConfig,True,False,False,False,False,False,False,0
gds/src/config/collections_config.rs,BackendConfig,True,False,False,False,True,False,False,0
gds/src/config/collections_config.rs,PerformanceConfig,True,False,False,False,True,False,False,0
gds/src/config/collections_config.rs,ExtensionConfig,True,False,False,True,False,False,False,0
gds/src/config/collections_config.rs,MLConfig,True,False,False,True,False,False,False,0
gds/src/config/collections_config.rs,DatasetConfig,True,False,False,False,True,False,False,0
gds/src/config/collections_config.rs,CacheConfig,True,False,False,False,True,False,False,0
gds/src/config/collections_config.rs,ParallelConfig,True,False,False,False,True,False,False,0
gds/src/config/collections_config.rs,MemoryConfig,True,False,False,False,True,False,False,0
gds/src/config/collections_config.rs,TensorConfig,True,False,False,False,True,False,False,0
gds/src/config/collections_config.rs,MatrixConfig,True,False,False,False,True,False,False,0
gds/src/config/collections_config.rs,VectorConfig,True,False,False,False,True,False,False,0
gds/src/config/collections_config.rs,DataSourceConfig,True,False,False,False,True,False,False,0
gds/src/config/io_config.rs,FileExporterConfig,False,False,False,False,False,False,True,0
gds/src/config/io_config.rs,DatabaseExporterConfig,False,False,False,False,False,False,True,0
gds/src/config/io_config.rs,FileImporterConfig,False,False,False,False,False,False,True,0
gds/src/config/io_config.rs,DatabaseImporterConfig,False,False,False,False,False,False,True,0
gds/src/config/algo_config.rs,PageRankConfig,False,False,False,False,False,False,True,0
gds/src/config/algo_config.rs,LouvainConfig,False,False,False,False,False,False,True,0
gds/src/config/algo_config.rs,NodeSimilarityConfig,False,False,False,False,False,False,True,0
gds/src/config/algo_config.rs,BetweennessCentralityConfig,False,False,False,False,False,False,True,0
gds/src/config/pregel_config.rs,PregelConfig,False,False,False,False,False,False,True,0
gds/src/algo/label_propagation/spec.rs,LabelPropConfig,True,True,True,False,True,False,False,0
gds/src/algo/closeness/spec.rs,ClosenessCentralityConfig,True,True,True,False,True,False,True,0
gds/src/algo/all_shortest_paths/spec.rs,AllShortestPathsConfig,True,True,True,False,True,False,True,0
gds/src/algo/steiner_tree/spec.rs,SteinerTreeConfig,True,True,True,False,False,False,False,0
gds/src/algo/dijkstra/spec.rs,DijkstraConfig,True,True,True,False,True,False,True,0
gds/src/algo/degree_centrality/spec.rs,DegreeCentralityConfig,True,True,True,False,True,False,True,0
gds/src/algo/similarity/node_similarity/spec.rs,NodeSimilarityConfig,True,True,True,False,True,False,False,0
gds/src/algo/similarity/filtered_knn/spec.rs,FilteredKnnConfig,True,True,True,False,True,False,True,0
gds/src/algo/similarity/knn/computation.rs,KnnNnDescentConfig,True,False,False,False,False,False,False,0
gds/src/algo/similarity/knn/spec.rs,KnnConfig,True,True,True,False,True,False,True,0
gds/src/algo/articulation_points/spec.rs,ArticulationPointsConfig,True,True,True,False,True,False,True,0
gds/src/algo/common/statistics.rs,StatisticsConfig,True,False,False,False,True,False,False,0
gds/src/algo/k1coloring/spec.rs,K1ColoringConfig,True,True,True,False,True,False,True,0
gds/src/algo/kspanningtree/spec.rs,KSpanningTreeConfig,True,True,True,False,True,False,False,0
gds/src/algo/indirect_exposure/computation.rs,IndirectExposurePregelRuntimeConfig,True,False,False,False,False,False,False,0
gds/src/algo/indirect_exposure/spec.rs,IndirectExposureConfig,True,True,True,False,True,False,False,0
gds/src/algo/scale_properties/spec.rs,ScalePropertiesConfig,True,True,True,False,True,False,False,0
gds/src/algo/conductance/spec.rs,ConductanceConfig,True,False,False,False,True,False,False,0
gds/src/algo/random_walk/spec.rs,RandomWalkConfig,True,True,True,False,True,False,False,0
gds/src/algo/dag_longest_path/spec.rs,DagLongestPathConfig,True,True,True,True,False,False,False,0
gds/src/algo/modularity_optimization/spec.rs,ModularityOptimizationConfig,True,True,True,False,True,False,False,0
gds/src/algo/dfs/spec.rs,DfsConfig,True,True,True,False,True,False,True,0
gds/src/algo/bridges/spec.rs,BridgesConfig,True,True,True,False,True,False,True,0
gds/src/algo/kmeans/spec.rs,KMeansConfig,True,True,True,False,True,False,False,0
gds/src/algo/yens/spec.rs,YensConfig,True,True,True,False,True,False,True,0
gds/src/algo/scc/spec.rs,SccConfig,True,True,True,False,True,False,False,0
gds/src/algo/wcc/spec.rs,WccConfig,True,True,True,False,True,False,False,0
gds/src/algo/spanning_tree/spec.rs,SpanningTreeConfig,True,True,True,False,True,False,True,0
gds/src/algo/betweenness/spec.rs,BetweennessCentralityConfig,True,True,True,False,True,False,False,0
gds/src/algo/astar/spec.rs,AStarConfig,True,True,True,False,True,False,True,0
gds/src/algo/louvain/spec.rs,LouvainConfig,True,True,True,False,True,False,False,0
gds/src/algo/hits/storage.rs,HitsPregelRuntimeConfig,True,False,False,False,False,False,False,0
gds/src/algo/hits/spec.rs,HitsConfig,True,True,True,False,True,False,True,0
gds/src/algo/leiden/spec.rs,LeidenConfig,True,True,True,False,True,False,False,0
gds/src/algo/undirected/spec.rs,ToUndirectedConfig,True,True,True,False,True,False,False,0
gds/src/algo/walking/spec.rs,CollapsePathConfig,True,True,True,False,True,False,False,0
gds/src/algo/topological_sort/spec.rs,TopologicalSortConfig,True,True,True,True,False,False,False,0
gds/src/algo/prize_collecting_steiner_tree/spec.rs,PCSTreeConfig,True,True,True,False,False,False,False,0
gds/src/algo/index_inverse/spec.rs,IndexInverseConfig,True,True,True,False,True,False,False,0
gds/src/algo/approx_max_kcut/spec.rs,ApproxMaxKCutConfig,True,False,False,False,False,False,False,0
gds/src/algo/bellman_ford/spec.rs,BellmanFordConfig,True,True,True,False,True,False,True,0
gds/src/algo/bfs/spec.rs,BfsConfig,True,True,True,False,True,False,True,0
gds/src/algo/kcore/spec.rs,KCoreConfig,True,True,True,False,True,False,False,0
gds/src/algo/delta_stepping/spec.rs,DeltaSteppingConfig,True,True,True,False,True,False,True,0
gds/src/algo/embeddings/node2vec/algo/spec.rs,Node2VecConfig,True,True,True,False,True,False,False,0
gds/src/algo/embeddings/gat/config.rs,GATConfig,True,True,True,False,True,False,False,0
gds/src/algo/embeddings/fastrp/spec.rs,FastRPConfig,True,True,True,False,True,False,False,0
gds/src/algo/embeddings/hashgnn/hash_gnn_parameters.rs,GenerateFeaturesConfig,True,False,False,False,False,False,False,0
gds/src/algo/embeddings/hashgnn/hash_gnn_parameters.rs,BinarizeFeaturesConfig,True,False,False,False,False,False,False,0
gds/src/algo/embeddings/hashgnn/algo/spec.rs,GenerateFeaturesConfig,True,True,True,False,False,False,False,0
gds/src/algo/embeddings/hashgnn/algo/spec.rs,BinarizeFeaturesConfig,True,True,True,False,False,False,False,0
gds/src/algo/embeddings/hashgnn/algo/spec.rs,HashGNNConfig,True,True,True,False,True,False,False,0
gds/src/algo/embeddings/graphsage/types.rs,LayerConfig,True,True,True,False,False,False,False,0
gds/src/algo/embeddings/graphsage/types.rs,GraphSageTrainConfig,True,True,True,False,False,False,False,0
gds/src/algo/embeddings/graphsage/algo/spec.rs,GraphSageConfig,True,True,True,False,True,False,False,0
gds/src/algo/celf/spec.rs,CELFConfig,True,True,True,False,True,False,False,0
gds/src/algo/triangle/spec.rs,TriangleConfig,True,True,True,False,True,False,False,0
gds/src/algo/triangle/intersect/spec.rs,RelationshipIntersectConfig,True,True,True,False,True,False,False,0
gds/src/algo/harmonic/spec.rs,HarmonicConfig,True,True,True,False,True,False,True,0
gds/src/types/random/random_graph.rs,RandomRelationshipConfig,True,False,False,False,False,False,True,0
gds/src/types/random/random_graph.rs,RandomGraphConfig,True,False,False,False,True,False,True,0
gds/src/types/random/random_graph.rs,RandomNodeDoublePropertyConfig,True,False,False,False,True,False,True,0
gds/src/projection/eval/pipeline/training_pipeline.rs,MockTrainerConfig,True,False,False,False,False,False,True,0
gds/src/projection/eval/pipeline/node_property_step_context_config.rs,NodePropertyStepContextConfig,True,False,False,True,False,False,False,0
gds/src/projection/eval/pipeline/auto_tuning_config.rs,AutoTuningConfig,True,False,False,False,True,False,False,0
gds/src/projection/eval/pipeline/node_pipeline/node_property_prediction_split_config.rs,NodePropertyPredictionSplitConfig,True,False,False,False,True,False,True,0
gds/src/projection/eval/pipeline/node_pipeline/node_property_pipeline_base_train_config.rs,MockTrainConfig,False,False,False,False,False,False,False,0
gds/src/projection/eval/pipeline/node_pipeline/node_feature_producer.rs,PlaceholderNodePropertyConfig,True,False,False,False,False,False,True,0
gds/src/projection/eval/pipeline/node_pipeline/node_feature_producer.rs,MockTrainConfig,False,False,False,False,False,False,True,0
gds/src/projection/eval/pipeline/node_pipeline/classification/node_classification_pipeline_train_config.rs,NodeClassificationPipelineTrainConfig,True,False,False,False,True,False,False,0
gds/src/projection/eval/pipeline/node_pipeline/regression/node_regression_pipeline_train_config.rs,NodeRegressionPipelineTrainConfig,True,False,False,False,True,False,True,0
gds/src/projection/eval/pipeline/link_pipeline/link_prediction_split_config.rs,LinkPredictionSplitConfig,True,False,False,False,True,True,True,0
gds/src/projection/eval/pipeline/link_pipeline/link_functions/link_feature_step_configuration.rs,TestConfig,False,False,False,False,False,False,False,0
gds/src/projection/eval/pipeline/link_pipeline/train/link_prediction_train_config.rs,LinkPredictionTrainConfig,True,False,False,False,False,True,True,0
gds/src/projection/factory/arrow/config.rs,ArrowProjectionConfig,True,False,False,False,True,True,True,0
gds/src/projection/factory/arrow/importer.rs,PropertyConfig,True,False,False,False,False,False,False,0
gds/src/procedures/model_catalog.rs,DummyConfig,True,True,False,False,False,False,True,0
gds/src/procedures/pipelines/link_prediction_predict_pipeline_mutate_config.rs,LinkPredictionPredictPipelineMutateConfig,True,False,False,False,False,False,False,0
gds/src/procedures/pipelines/node_classification_predict_pipeline_base_config.rs,NodeClassificationPredictPipelineBaseConfig,True,False,False,False,False,False,False,0
gds/src/procedures/pipelines/node_classification_predict_pipeline_mutate_config.rs,NodeClassificationPredictPipelineMutateConfig,True,False,False,False,False,False,True,0
gds/src/procedures/pipelines/node_regression_predict_pipeline_base_config.rs,NodeRegressionPredictPipelineBaseConfig,True,False,False,False,False,False,False,0
gds/src/procedures/pipelines/node_regression_predict_pipeline_mutate_config.rs,NodeRegressionPredictPipelineMutateConfig,True,False,False,False,False,False,False,0
gds/src/procedures/pipelines/node_classification_predict_pipeline_write_config.rs,NodeClassificationPredictPipelineWriteConfig,True,False,False,False,False,False,True,0
gds/src/procedures/pipelines/node_classification_predict_pipeline_stream_config.rs,NodeClassificationPredictPipelineStreamConfig,True,False,False,False,False,False,False,0
gds/src/procedures/pipelines/link_prediction_predict_pipeline_base_config.rs,LinkPredictionPredictPipelineBaseConfig,True,False,False,False,False,False,False,0
gds/src/procedures/pipelines/node_classification_predict_pipeline_mutate_or_write_config.rs,NodeClassificationPredictPipelineMutateOrWriteConfig,True,False,False,False,False,False,False,0
gds/src/procedures/pipelines/link_prediction_predict_pipeline_stream_config.rs,LinkPredictionPredictPipelineStreamConfig,True,False,False,False,False,False,False,0
gds/src/applications/graph_store_catalog/loaders/graph_store_from_catalog_loader.rs,CatalogGraphProjectConfig,True,False,False,False,False,False,False,0
gds/src/applications/graph_store_catalog/loaders/fictitious_graph_store_loader.rs,FictitiousGraphProjectConfig,True,False,False,False,False,False,False,0
gds/src/applications/graph_store_catalog/loaders/graph_store_from_database_loader.rs,DatabaseGraphProjectConfig,True,False,False,False,False,False,False,0
gds/src/applications/graph_store_catalog/configs/graph_stream_relationships_config.rs,GraphStreamRelationshipsConfig,False,False,False,False,False,False,True,0
gds/src/applications/graph_store_catalog/configs/sampling_config.rs,SamplingConfig,True,True,True,True,False,False,False,0
gds/src/applications/graph_store_catalog/configs/projection_config.rs,NativeProjectionConfig,True,True,True,True,False,False,False,0
gds/src/applications/graph_store_catalog/configs/projection_config.rs,GenericProjectionConfig,True,True,True,True,False,False,False,0
gds/src/applications/graph_store_catalog/configs/graph_write_relationship_config.rs,GraphWriteRelationshipConfig,False,False,False,False,False,False,True,0
gds/src/applications/graph_store_catalog/configs/write_label_config.rs,WriteLabelConfig,False,False,False,False,False,False,True,0
gds/src/applications/graph_store_catalog/configs/graph_node_properties_config.rs,GraphNodePropertiesConfig,True,True,True,False,False,False,True,0
gds/src/applications/graph_store_catalog/configs/graph_remove_graph_properties_config.rs,GraphRemoveGraphPropertiesConfig,True,False,False,True,False,True,True,0
gds/src/applications/graph_store_catalog/configs/graph_stream_relationship_properties_config.rs,GraphStreamRelationshipPropertiesConfig,True,False,False,True,False,True,True,0
gds/src/applications/graph_store_catalog/configs/graph_write_node_properties_config.rs,GraphWriteNodePropertiesConfig,True,False,False,True,False,True,True,0
gds/src/applications/graph_store_catalog/configs/graph_drop_node_properties_config.rs,GraphDropNodePropertiesConfig,True,True,True,False,False,False,True,0
gds/src/applications/graph_store_catalog/configs/graph_stream_graph_properties_config.rs,GraphStreamGraphPropertiesConfig,True,False,False,True,False,True,True,0
gds/src/applications/graph_store_catalog/configs/graph_access_graph_properties_config.rs,GraphAccessGraphPropertiesConfig,True,True,True,False,False,False,True,0
gds/src/applications/graph_store_catalog/configs/generation_config.rs,GraphGenerationRelationshipConfig,True,True,True,True,False,False,False,0
gds/src/applications/graph_store_catalog/configs/generation_config.rs,GraphGenerationConfig,True,True,True,True,False,False,False,0
gds/src/applications/graph_store_catalog/configs/mutate_label_config.rs,MutateLabelConfig,False,False,False,False,False,False,True,0
gds/src/applications/graph_store_catalog/configs/graph_export_node_properties_config.rs,GraphExportNodePropertiesConfig,True,False,False,True,False,True,True,0
gds/src/applications/graph_store_catalog/configs/write_relationship_properties_config.rs,WriteRelationshipPropertiesConfig,False,False,False,False,False,False,False,0
